splitter,seed,fold,score
holdout_random,0,0,0.8533333333333334
holdout_stratified,0,0,0.8266666666666667
KFold5,0,0,0.8333333333333334
KFold5,0,1,0.9333333333333333
KFold5,0,2,0.7457627118644068
KFold5,0,3,0.8135593220338984
KFold5,0,4,0.8813559322033898
StratifiedKFold5,0,0,0.8666666666666667
StratifiedKFold5,0,1,0.8333333333333334
StratifiedKFold5,0,2,0.847457627118644
StratifiedKFold5,0,3,0.7627118644067796
StratifiedKFold5,0,4,0.847457627118644
RepeatedSKF_5x2,0,0,0.8666666666666667
RepeatedSKF_5x2,0,1,0.8333333333333334
RepeatedSKF_5x2,0,2,0.847457627118644
RepeatedSKF_5x2,0,3,0.7627118644067796
RepeatedSKF_5x2,0,4,0.847457627118644
RepeatedSKF_5x2,0,5,0.85
RepeatedSKF_5x2,0,6,0.8166666666666667
RepeatedSKF_5x2,0,7,0.7966101694915254
RepeatedSKF_5x2,0,8,0.8813559322033898
RepeatedSKF_5x2,0,9,0.7627118644067796
holdout_random,1,0,0.8133333333333334
holdout_stratified,1,0,0.84
KFold5,1,0,0.8
KFold5,1,1,0.7666666666666667
KFold5,1,2,0.8135593220338984
KFold5,1,3,0.847457627118644
KFold5,1,4,0.9152542372881356
StratifiedKFold5,1,0,0.8
StratifiedKFold5,1,1,0.8166666666666667
StratifiedKFold5,1,2,0.7796610169491526
StratifiedKFold5,1,3,0.847457627118644
StratifiedKFold5,1,4,0.8813559322033898
RepeatedSKF_5x2,1,0,0.8
RepeatedSKF_5x2,1,1,0.8166666666666667
RepeatedSKF_5x2,1,2,0.7796610169491526
RepeatedSKF_5x2,1,3,0.847457627118644
RepeatedSKF_5x2,1,4,0.8813559322033898
RepeatedSKF_5x2,1,5,0.8
RepeatedSKF_5x2,1,6,0.8
RepeatedSKF_5x2,1,7,0.7966101694915254
RepeatedSKF_5x2,1,8,0.8813559322033898
RepeatedSKF_5x2,1,9,0.9152542372881356
holdout_random,2,0,0.8666666666666667
holdout_stratified,2,0,0.8133333333333334
KFold5,2,0,0.8333333333333334
KFold5,2,1,0.85
KFold5,2,2,0.847457627118644
KFold5,2,3,0.847457627118644
KFold5,2,4,0.8135593220338984
StratifiedKFold5,2,0,0.7833333333333333
StratifiedKFold5,2,1,0.8
StratifiedKFold5,2,2,0.8135593220338984
StratifiedKFold5,2,3,0.9491525423728814
StratifiedKFold5,2,4,0.864406779661017
RepeatedSKF_5x2,2,0,0.7833333333333333
RepeatedSKF_5x2,2,1,0.8
RepeatedSKF_5x2,2,2,0.8135593220338984
RepeatedSKF_5x2,2,3,0.9491525423728814
RepeatedSKF_5x2,2,4,0.864406779661017
RepeatedSKF_5x2,2,5,0.8
RepeatedSKF_5x2,2,6,0.8666666666666667
RepeatedSKF_5x2,2,7,0.8983050847457628
RepeatedSKF_5x2,2,8,0.847457627118644
RepeatedSKF_5x2,2,9,0.7627118644067796
