criterion,max_depth,min_samples_leaf,test_acc
gini,2,1,0.9390503189227498
gini,2,5,0.9390503189227498
gini,2,20,0.9390503189227498
gini,4,1,0.9978738483345145
gini,4,5,0.9978738483345145
gini,4,20,0.9950389794472005
gini,6,1,1.0
gini,6,5,1.0
gini,6,20,0.9950389794472005
gini,8,1,1.0
gini,8,5,1.0
gini,8,20,0.9950389794472005
gini,12,1,1.0
gini,12,5,1.0
gini,12,20,0.9950389794472005
gini,None,1,1.0
gini,None,5,1.0
gini,None,20,0.9950389794472005
entropy,2,1,0.9390503189227498
entropy,2,5,0.9390503189227498
entropy,2,20,0.9390503189227498
entropy,4,1,0.9978738483345145
entropy,4,5,0.9978738483345145
entropy,4,20,0.9950389794472005
entropy,6,1,1.0
entropy,6,5,1.0
entropy,6,20,0.9950389794472005
entropy,8,1,1.0
entropy,8,5,1.0
entropy,8,20,0.9950389794472005
entropy,12,1,1.0
entropy,12,5,1.0
entropy,12,20,0.9950389794472005
entropy,None,1,1.0
entropy,None,5,1.0
entropy,None,20,0.9950389794472005
