feature,tree_importance,perm_mean,perm_std
onehot__cap-shape_b,0.0,0.0,0.0
onehot__cap-shape_c,0.0,0.0,0.0
onehot__cap-shape_f,0.0,0.0,0.0
onehot__cap-shape_k,0.0,0.0,0.0
onehot__cap-shape_s,0.0,0.4280652019844082,0.009186025086332912
onehot__cap-shape_x,0.0,0.0,0.0
onehot__cap-surface_f,0.0,0.0,0.0
onehot__cap-surface_g,0.0,0.07994330262225371,0.004142208134997154
onehot__cap-surface_s,0.0,0.0,0.0
onehot__cap-surface_y,0.0,0.045499645641389086,0.0033959315522922966
onehot__cap-color_b,0.0,0.0,0.0
onehot__cap-color_c,0.0,0.002126151665485465,0.0004482321275929887
onehot__cap-color_e,0.0,0.0,0.0
onehot__cap-color_g,0.0,0.0,0.0
onehot__cap-color_n,0.0,0.0,0.0
onehot__cap-color_p,0.0,0.0,0.0
onehot__cap-color_w,0.0,0.0,0.0
onehot__cap-color_y,0.0,0.026364280652019855,0.0019227016252658302
onehot__bruises_f,0.0,0.0,0.0
onehot__bruises_t,0.0,0.0,0.0
onehot__odor_a,0.0,0.003118355776045356,0.0003471991130804982
onehot__odor_c,0.0,0.007654145995747696,0.0010415973392416066
