seed,outlier_frac,scaler,algorithm,test_acc
0,0.0,standard,kNN,0.8818181818181818
0,0.0,standard,LinearSVC,0.9090909090909091
0,0.0,standard,LogReg,0.9
0,0.0,standard,RandomForest,0.8818181818181818
0,0.0,robust,kNN,0.8818181818181818
0,0.0,robust,LinearSVC,0.9090909090909091
0,0.0,robust,LogReg,0.9
0,0.0,robust,RandomForest,0.8818181818181818
0,0.05,standard,kNN,0.8727272727272727
0,0.05,standard,LinearSVC,0.9
0,0.05,standard,LogReg,0.8636363636363636
0,0.05,standard,RandomForest,0.8727272727272727
0,0.05,robust,kNN,0.8818181818181818
0,0.05,robust,LinearSVC,0.8909090909090909
0,0.05,robust,LogReg,0.9
0,0.05,robust,RandomForest,0.8727272727272727
0,0.1,standard,kNN,0.8818181818181818
0,0.1,standard,LinearSVC,0.6909090909090909
0,0.1,standard,LogReg,0.7
0,0.1,standard,RandomForest,0.8454545454545455
0,0.1,robust,kNN,0.8818181818181818
0,0.1,robust,LinearSVC,0.6909090909090909
0,0.1,robust,LogReg,0.7818181818181819
0,0.1,robust,RandomForest,0.8454545454545455
0,0.2,standard,kNN,0.8818181818181818
0,0.2,standard,LinearSVC,0.6818181818181818
0,0.2,standard,LogReg,0.6818181818181818
0,0.2,standard,RandomForest,0.8727272727272727
0,0.2,robust,kNN,0.8636363636363636
0,0.2,robust,LinearSVC,0.6818181818181818
0,0.2,robust,LogReg,0.6909090909090909
0,0.2,robust,RandomForest,0.8727272727272727
1,0.0,standard,kNN,0.8818181818181818
1,0.0,standard,LinearSVC,0.9090909090909091
1,0.0,standard,LogReg,0.9090909090909091
1,0.0,standard,RandomForest,0.9090909090909091
1,0.0,robust,kNN,0.8909090909090909
1,0.0,robust,LinearSVC,0.9090909090909091
1,0.0,robust,LogReg,0.9181818181818182
1,0.0,robust,RandomForest,0.9090909090909091
1,0.05,standard,kNN,0.8909090909090909
1,0.05,standard,LinearSVC,0.8454545454545455
1,0.05,standard,LogReg,0.8
1,0.05,standard,RandomForest,0.9090909090909091
1,0.05,robust,kNN,0.8909090909090909
1,0.05,robust,LinearSVC,0.8636363636363636
1,0.05,robust,LogReg,0.9090909090909091
1,0.05,robust,RandomForest,0.9090909090909091
1,0.1,standard,kNN,0.9
1,0.1,standard,LinearSVC,0.7
1,0.1,standard,LogReg,0.7090909090909091
1,0.1,standard,RandomForest,0.9181818181818182
1,0.1,robust,kNN,0.9090909090909091
1,0.1,robust,LinearSVC,0.7
1,0.1,robust,LogReg,0.7727272727272727
1,0.1,robust,RandomForest,0.9181818181818182
1,0.2,standard,kNN,0.8727272727272727
1,0.2,standard,LinearSVC,0.6818181818181818
1,0.2,standard,LogReg,0.6818181818181818
1,0.2,standard,RandomForest,0.9181818181818182
1,0.2,robust,kNN,0.9
1,0.2,robust,LinearSVC,0.6818181818181818
1,0.2,robust,LogReg,0.6818181818181818
1,0.2,robust,RandomForest,0.9181818181818182
2,0.0,standard,kNN,0.9363636363636364
2,0.0,standard,LinearSVC,0.9
2,0.0,standard,LogReg,0.9
2,0.0,standard,RandomForest,0.9363636363636364
2,0.0,robust,kNN,0.9181818181818182
2,0.0,robust,LinearSVC,0.9
2,0.0,robust,LogReg,0.9090909090909091
2,0.0,robust,RandomForest,0.9363636363636364
2,0.05,standard,kNN,0.9272727272727272
2,0.05,standard,LinearSVC,0.7
2,0.05,standard,LogReg,0.6909090909090909
2,0.05,standard,RandomForest,0.9363636363636364
2,0.05,robust,kNN,0.9181818181818182
2,0.05,robust,LinearSVC,0.7
2,0.05,robust,LogReg,0.8
2,0.05,robust,RandomForest,0.9363636363636364
2,0.1,standard,kNN,0.9272727272727272
2,0.1,standard,LinearSVC,0.6909090909090909
2,0.1,standard,LogReg,0.6909090909090909
2,0.1,standard,RandomForest,0.9363636363636364
2,0.1,robust,kNN,0.9181818181818182
2,0.1,robust,LinearSVC,0.6909090909090909
2,0.1,robust,LogReg,0.7545454545454545
2,0.1,robust,RandomForest,0.9363636363636364
2,0.2,standard,kNN,0.9363636363636364
2,0.2,standard,LinearSVC,0.6818181818181818
2,0.2,standard,LogReg,0.6818181818181818
2,0.2,standard,RandomForest,0.9181818181818182
2,0.2,robust,kNN,0.9272727272727272
2,0.2,robust,LinearSVC,0.6818181818181818
2,0.2,robust,LogReg,0.6818181818181818
2,0.2,robust,RandomForest,0.9181818181818182
