algorithm,scaler,acc_mean,acc_std,n_runs
kNN,none,0.8848484848484849,0.031014378015846517,15
kNN,standard,0.9136363636363636,0.0336588786235198,15
kNN,minmax,0.9128787878787877,0.028040538671699616,15
kNN,robust,0.9098484848484848,0.027040254996325386,15
kNN,maxabs,0.9128787878787877,0.028040538671699616,15
LinearSVC,none,0.8893939393939394,0.04032979289153381,15
LinearSVC,standard,0.9045454545454545,0.02376422294145169,15
LinearSVC,minmax,0.8863636363636362,0.02934078292581374,15
LinearSVC,robust,0.9060606060606061,0.02290335826944086,15
LinearSVC,maxabs,0.8863636363636362,0.02934078292581374,15
LogReg,none,0.9075757575757577,0.026199418887561485,15
LogReg,standard,0.9022727272727272,0.02808144392856156,15
LogReg,minmax,0.8340909090909091,0.034166582678120255,15
LogReg,robust,0.9037878787878788,0.026199418887561478,15
LogReg,maxabs,0.8340909090909091,0.034166582678120255,15
RandomForest,none,0.9121212121212121,0.026067652324371596,15
RandomForest,standard,0.9121212121212121,0.026067652324371596,15
RandomForest,minmax,0.9121212121212121,0.026067652324371596,15
RandomForest,robust,0.9121212121212121,0.026067652324371596,15
RandomForest,maxabs,0.9121212121212121,0.026067652324371596,15
