algorithm,scaler,fit_time_total_s,predict_time_total_s,fit_time_per_fit_s
kNN,none,0.017332458000000273,0.03454253999999857,0.0011554972000000182
kNN,standard,0.01435837600000145,0.026100210000000068,0.0009572250666667633
kNN,minmax,0.013936794000000141,0.02565899999999921,0.0009291196000000094
kNN,robust,0.01973945900000018,0.026340792000000057,0.0013159639333333454
kNN,maxabs,0.013459916000002181,0.02609370699999758,0.0008973277333334787
LinearSVC,none,0.01605870999999759,0.005499665999998626,0.0010705806666665059
LinearSVC,standard,0.01613783400000024,0.006268462000001307,0.001075855600000016
LinearSVC,minmax,0.015509996999999665,0.005814916000000281,0.0010339997999999776
LinearSVC,robust,0.02065791699999764,0.005731417999999877,0.0013771944666665092
LinearSVC,maxabs,0.014419498999998837,0.005792083999998532,0.0009612999333332557
LogReg,none,0.07555166600000085,0.0064328739999997,0.00503677773333339
LogReg,standard,0.023600625999997682,0.006033169000001948,0.001573375066666512
LogReg,minmax,0.022909457999999994,0.005921167000000338,0.0015272971999999996
LogReg,robust,0.03027712200000021,0.00624008399999898,0.0020184748000000143
LogReg,maxabs,0.023544165999999755,0.0064520419999993806,0.0015696110666666503
RandomForest,none,1.783888789999999,0.09094816700000052,0.11892591933333325
RandomForest,standard,2.184522001000003,0.11291024799999771,0.14563480006666688
RandomForest,minmax,2.503870875999999,0.13617004199999805,0.16692472506666658
RandomForest,robust,2.2147148729999966,0.11080412299999765,0.14764765819999978
RandomForest,maxabs,2.123314330999998,0.10545574999999907,0.14155428873333317
